super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
1196,Dominican University Of California,2,6,Selective private,1,4,CA,37800,San Francisco,6041,Marin,0,137.6666667,0.76029056,0.50909108,0.031980876,0.00244417,163987.119,98100,0.684231013,0.060711909,0.12911583,0.1603592,0.23964556,0.41016746,0.24089342,0.12724848,0.025760667,0.004699891,0.63858461,55005.75188,45200,47800,0.094191425,0.10421716,0.11565635,0.13340232,0.24900806,0.3977161,0.23085591,0.11253086,0.023839733,0.64460576,0.60183883,0.62102407,0.61524957,0.66975993,0.098431855,0.15285662,0.096454434,0.1254926,0.52676445,0.10895909,0.17521837,0.088300236,0.35403946,0.27348283,0.10141417,0.10852068,0.17852896,0.26565421,0.34588197,0.093173184,0.14795314,0.1673844,0.25028408,0.34120524,0.11112925,0.075320587,0.11557167,0.22697434,0.47100416,0.04025849,0.000531418,0.015828067,0.025551813,0.030878592,0.47216874,0.47261736,0.427517,0.5850305,0.51356149,0.78208232,1
2667,Dowling College,2,6,Selective private,1,1,NY,19400,New York,36103,Suffolk,0,275,0.57090908,0.49549663,0.049541503,0.001253946,95406.83613,71500,0.565657182,0.16336198,0.16316129,0.17664842,0.20128752,0.29554084,0.13873383,0.070939288,0.005812548,1.53149E-05,0.62771046,48724.50429,45800,50000,0.11683352,0.11921602,0.11403885,0.14854284,0.22991946,0.3882829,0.20544066,0.080389045,0.009851434,0.57407373,0.59390014,0.63564086,0.64747638,0.65782201,0.1788732,0.1199052,0.14827202,0.24968748,0.30326214,0.12055893,0.16590421,0.12321448,0.26231661,0.32800579,0.098412864,0.11286288,0.15766546,0.27559897,0.35545984,0.10924064,0.09312468,0.144177,0.25009471,0.40336293,0.10472711,0.097109653,0.16019647,0.16006257,0.4779042,0.007675873,0.000841445,0,0.000607641,0.028212301,0.36383471,0.47157606,0.50530434,0.52352613,0.5565269,0,0
2864,Dutchess Community College,1,9,Two-year (public and private not-for-profit),2,1,NY,19300,Poughkeepsie,36027,Dutchess,0,1283,0.49441412,0.43011078,0.015608984,0,88697.63165,82900,0.607108799,0.091885269,0.13677916,0.19929101,0.28337055,0.28867394,0.10371143,0.025694406,0.001558773,5.04772E-05,0.53861642,36703.08627,31900,37500,0.14409237,0.15808237,0.17166771,0.21302485,0.22279684,0.23442817,0.098287374,0.037188891,0.003854011,0.4727982,0.49380264,0.52016526,0.56801265,0.56468207,0.23319562,0.1746368,0.22897197,0.19332094,0.16987471,0.19503804,0.18980934,0.229426,0.19535339,0.19037321,0.16728765,0.19636631,0.21297936,0.21254791,0.21081875,0.13197383,0.15199989,0.21339294,0.24675769,0.25587568,0.1359373,0.16438222,0.19984783,0.22873722,0.27109545,0,0.003772799,0,0.004609982,0.007037827,0.31062278,0.37207022,0.42046672,0.46389946,0.46913484,0,0
3564,East Texas Baptist University,2,6,Selective private,1,3,TX,33400,Longview,48203,Harrison,0,270.3333333,0.53144264,0.6877172,0.014889835,0.00243115,82426.97436,72500,0.569181538,0.1071303,0.16109157,0.23584333,0.27104849,0.22488633,0.07614506,0.034205548,0.005765905,0.000158829,0.57371753,41006.87966,35900,40400,0.12547201,0.1357934,0.14288276,0.19632453,0.29472387,0.23027539,0.11415245,0.055803251,0.013686265,0.54661161,0.57508183,0.54309541,0.59386951,0.59347844,0.14424372,0.14371055,0.22964785,0.34340978,0.13898809,0.076893613,0.22581373,0.19022228,0.31272286,0.19434747,0.16759753,0.14326943,0.19582869,0.24977416,0.2435302,0.13234781,0.10342809,0.20799774,0.29247218,0.26375413,0.14475846,0.13023095,0.17127198,0.30849168,0.24524695,0.022693392,0.006530424,0.011038648,0.011326349,0.020142343,0.49058211,0.63880324,0.69770241,0.78491157,0.68904871,0,0
1197,El Camino College,1,9,Two-year (public and private not-for-profit),2,4,CA,38300,Los Angeles,6037,Los Angeles,0,3618.333333,0.50492859,0.33746764,0.031190863,0.000707942,70792.21628,51600,0.466883441,0.21975967,0.23381616,0.20055769,0.17230776,0.17355867,0.078792982,0.029556336,0.00340229,0.000499612,0.50301731,33298.01473,28300,34700,0.1711852,0.18623835,0.1950732,0.20934068,0.22015323,0.18919453,0.081802204,0.035636961,0.003388201,0.47380486,0.50052667,0.50900334,0.51689011,0.52267128,0.19379136,0.22252423,0.23239668,0.20935607,0.1419317,0.17127419,0.20958681,0.22412319,0.23181035,0.16320543,0.18216231,0.18652803,0.21072493,0.22583988,0.19474486,0.18901248,0.17975879,0.19369243,0.22171219,0.21582416,0.19879025,0.16584076,0.17416829,0.21000125,0.25119945,0.003221438,0.002422504,0.003250469,0.004228279,0.004225467,0.28001416,0.30474016,0.34608316,0.3716976,0.41036633,0,0
10387,El Paso Community College,1,9,Two-year (public and private not-for-profit),2,3,TX,30601,El Paso,48141,El Paso,0,2837.666667,0.54610598,0.41843244,0.047745954,0.000706533,41655.43214,29200,0.313252189,0.40920174,0.2875343,0.15483689,0.10214154,0.046285599,0.015021882,0.005690831,0.000696659,4.08745E-05,0.48996896,29878.67898,25700,29800,0.13379836,0.14893857,0.22736871,0.26641762,0.2261723,0.13110289,0.053535629,0.015879298,0.001289761,0.47393805,0.49385616,0.50594556,0.51755184,0.49323112,0.16105403,0.23865312,0.26813599,0.21547614,0.11668072,0.13674167,0.23300481,0.27643222,0.22729972,0.12652165,0.1382052,0.20790376,0.27024436,0.23929499,0.14435165,0.13800719,0.19243436,0.24794395,0.26011053,0.16150393,0.17762597,0.23480028,0.21697819,0.19493821,0.1756573,0.001726612,0.000469258,0.002223653,0.001018171,0,0.40961134,0.4265666,0.41353184,0.43855163,0.4178817,0,0
2718,Elmira College,2,6,Selective private,1,1,NY,18100,Elmira,36015,Chemung,0,241.5,0.73498964,0.57406598,0.013689324,9.97897E-05,126658.8958,91400,0.649737577,0.05035124,0.09180297,0.21744885,0.28886598,0.35153097,0.17053619,0.069444254,0.016928185,0.000343974,0.63479525,47371.37109,47500,47500,0.097852208,0.10674183,0.10615035,0.15381142,0.31863031,0.31466609,0.14909664,0.060835153,0.007490964,0.59181815,0.62778085,0.63424778,0.66388863,0.61921442,0.23141091,0.039113753,0.15079293,0.30680582,0.2718766,0.071805015,0.071461841,0.29004183,0.334508,0.23218338,0.11067119,0.10604285,0.13336095,0.34887522,0.3010498,0.06711892,0.11556272,0.15078352,0.29265276,0.37388214,0.12813778,0.11714327,0.13380525,0.31881535,0.30209827,0.001981872,0.000919945,0.00230264,0.005136126,0.015140521,0.4638609,0.62421775,0.54874158,0.55058366,0.61171526,1,1
21732,"Empire Beauty School of New York, NY",3,12,Less than two-year schools of any type,3,1,NY,19400,New York,36061,New York,0,137,0.96836984,0.22928773,0.010763849,7.75E-06,68715.57813,43000,0.414545983,0.26611945,0.26364782,0.18278691,0.14114662,0.14629926,0.074021414,0.034743678,0.00988749,0,0.35084203,17833.28125,12700,17200,0.28499666,0.34785169,0.31470028,0.16131023,0.10480411,0.071333796,0.028779425,0.000574282,0.000443733,0.27764863,0.41620913,0.31260329,0.36117351,0.40399033,0.46109253,0.38405979,0.077039793,0.037360396,0.040447436,0.15368295,0.38451281,0.23060507,0.1937488,0.037450425,0.39258176,0.33619991,0.16733088,0.054467559,0.049419854,0.43330079,0.13750608,0.21032961,0.14327411,0.075589366,0.35345399,0.20681609,0.13490637,0.092971943,0.21185161,2.91355E-05,0.000282265,0.000435575,0.000307509,0.001630495,0.17273231,0.18156491,0.32249099,0.42180786,0.11597618,0.74939173,1
10684,Erie Community College,1,9,Two-year (public and private not-for-profit),2,1,NY,18000,Buffalo,36029,Erie,0,2363.666667,0.46425045,0.44441557,0.01268109,0.000269337,79686.81533,72400,0.552576741,0.12134389,0.16213065,0.2291379,0.29654801,0.19083953,0.060386326,0.018169349,0.002857269,0.00019152,0.52878851,33811.91746,30900,34600,0.11387257,0.1260775,0.19080271,0.25060251,0.25593761,0.17657968,0.060141329,0.020336825,0.002563535,0.46090755,0.47130352,0.53166485,0.56709963,0.5578016,0.17124467,0.27250129,0.25917211,0.19257651,0.10450539,0.157333,0.23500639,0.28012049,0.23193078,0.095609277,0.12635709,0.18124877,0.25603133,0.25942284,0.17693996,0.098477609,0.16099666,0.24796179,0.27315581,0.2194082,0.11335689,0.15908857,0.21766138,0.28568035,0.22421286,0.002219619,0,2.95098E-05,0.003772084,0.006124686,0.31970564,0.36583558,0.44934896,0.50869006,0.48466989,0,0
11112,Fashion Institute Of Design & Merchandising,3,10,Four-year for-profit,1,4,CA,38300,Los Angeles,6037,Los Angeles,0,932.5,0.9067024,0.3899537,0.0252064,8.0624E-05,130106.3724,76300,0.592304687,0.111849,0.16764905,0.20394582,0.20179865,0.31475767,0.18800007,0.095812015,0.022184094,0.002612504,0.51616287,35981.48958,28200,37000,0.16534993,0.19127157,0.19170633,0.17994967,0.21557769,0.22149491,0.10638842,0.048109468,0.005008871,0.52174324,0.49951908,0.51563781,0.52741301,0.51617205,0.16330616,0.15314549,0.24827781,0.20990956,0.22536097,0.17591761,0.21337959,0.18715763,0.21989571,0.20364939,0.18239507,0.19159266,0.18304291,0.24441564,0.19855377,0.15017068,0.22507106,0.17784485,0.20830706,0.23860636,0.24148914,0.1725477,0.15117522,0.20126779,0.23352012,0.000720829,0.002592366,0.0087813,0.001034595,0.007923398,0.37286061,0.34044039,0.39217526,0.36036453,0.43993059,1,1
